id,group,name_zh,note,total_return,ann_return,maxdd,sharpe,calmar,n_trades,win_rate,avg_hold_days,avg_trade_pnl,excess_vs_bh,n_days,years
A,A,僅 THT：綠飄帶進／紅飄帶出,BULL 0→1 進；BULL 1→0 出,0.351904,0.062465,-0.426020,0.349713,0.146624,24,0.291667,23.916667,0.025401,-0.105845,1254,4.976200
B1,B,僅 BX：深紅→淺紅進／深綠→淺綠出,SPEC 字面著色組合（正區由降轉升作出場，見報告假設）,0.115834,0.022270,-0.776667,0.297031,0.028673,25,0.520000,35.440000,0.020606,-0.341916,1254,4.976200
B2,B,僅 BX：深紅→淺紅進／淺綠→深綠出,對照：正區由升轉降視為轉弱,-0.018437,-0.003733,-0.662297,0.211623,-0.005636,46,0.500000,14.108696,0.010348,-0.476187,1254,4.976200
B3,B,僅 BX：負轉正進／正轉負出,零軸穿越對照，不用著色,2.876492,0.312958,-0.365046,0.870708,0.857311,52,0.346154,12.000000,0.040426,2.418742,1254,4.976200
B4,B,僅 BX：深紅→淺紅進／正轉負出,買盤加強進、跌破零軸出,1.087336,0.159376,-0.760566,0.543199,0.209549,49,0.408163,19.693878,0.033437,0.629586,1254,4.976200
C1,C,THT 進＋BX 確認 N=1,綠飄帶當根須同時深紅→淺紅；出場 BULL 轉假,0.000000,0.000000,0.000000,,,0,,,,-0.457750,1254,4.976200
C3,C,THT 進＋BX 確認 N=3,綠飄帶後 3 根內深紅→淺紅；出場 BULL 轉假,0.000000,0.000000,0.000000,,,0,,,,-0.457750,1254,4.976200
C5,C,THT 進＋BX 確認 N=5,綠飄帶後 5 根內深紅→淺紅；出場 BULL 轉假,0.000000,0.000000,0.000000,,,0,,,,-0.457750,1254,4.976200
C_PRE3,C,BX 先轉強，3 根內再出綠飄帶,對照：深紅→淺紅之後才等 THT（SPEC 的反向）,0.075403,0.014716,-0.333792,0.176109,0.044087,6,0.333333,25.166667,0.020236,-0.382347,1254,4.976200
C_PRE5,C,BX 先轉強，5 根內再出綠飄帶,對照：深紅→淺紅後 5 根內綠飄帶,-0.258081,-0.058225,-0.444922,-0.098435,-0.130865,10,0.200000,26.300000,-0.022450,-0.715830,1254,4.976200
C_BXPOS,C,綠飄帶且當根 BX≥0,對照：飄帶出現時買盤已在正區才進,-0.126519,-0.026817,-0.470610,0.080672,-0.056984,21,0.238095,22.285714,0.002929,-0.584268,1254,4.976200
D1,D,THT 進；深綠→淺綠或 BULL 轉紅出,SPEC 字面 BX 出場＋綠飄帶失效,0.780418,0.122908,-0.368558,0.584556,0.333483,24,0.500000,9.500000,0.031476,0.322669,1254,4.976200
D2,D,THT 進；淺綠→深綠或 BULL 轉紅出,對照：正區轉弱或飄帶失效,-0.068413,-0.014140,-0.429850,0.002862,-0.032895,24,0.333333,4.250000,0.000892,-0.526163,1254,4.976200
D3,D,THT 進；BX 正轉負或 BULL 轉紅出,零軸跌破或飄帶失效,1.715293,0.222302,-0.330859,0.846019,0.671894,24,0.458333,12.291667,0.053991,1.257544,1254,4.976200
C3D2,C,THT＋BX 確認 N=3；淺綠→深綠或 BULL 轉紅出,確認進場＋較合理的轉弱出場,0.000000,0.000000,0.000000,,,0,,,,-0.457750,1254,4.976200
C5D2,C,THT＋BX 確認 N=5；淺綠→深綠或 BULL 轉紅出,N=5 確認＋轉弱出場,0.000000,0.000000,0.000000,,,0,,,,-0.457750,1254,4.976200
E_A_RSI70,E,THT＋RSI2<70,綠飄帶且 RSI2 未超買；BULL 轉假出,0.351904,0.062465,-0.426020,0.349713,0.146624,24,0.291667,23.916667,0.025401,-0.105845,1254,4.976200
E_C3_RSI70,E,THT＋BX 確認 N=3＋RSI2<70,確認進場再濾超買；BULL 轉假出,0.000000,0.000000,0.000000,,,0,,,,-0.457750,1254,4.976200
E_C3_RSI70_D2,E,THT＋BX 確認 N=3＋RSI2<70；轉弱或轉紅出,建議候選：確認＋未超買＋轉弱出場,0.000000,0.000000,0.000000,,,0,,,,-0.457750,1254,4.976200
E_C5_RSI70_D2,E,THT＋BX 確認 N=5＋RSI2<70；轉弱或轉紅出,N=5 版本,0.000000,0.000000,0.000000,,,0,,,,-0.457750,1254,4.976200
E_A_RSI30_70,E,THT＋RSI2 介於 30–70,避開超買超賣極端；BULL 轉假出,0.351904,0.062465,-0.426020,0.349713,0.146624,24,0.291667,23.916667,0.025401,-0.105845,1254,4.976200
E_D2_RSI70,E,THT＋RSI2<70；淺綠→深綠或 BULL 轉紅出,不過濾 BX 確認，只濾 RSI,-0.068413,-0.014140,-0.429850,0.002862,-0.032895,24,0.333333,4.250000,0.000892,-0.526163,1254,4.976200
E_D3_RSI70,E,THT＋RSI2<70；BX 正轉負或 BULL 轉紅出,綠飄帶＋未超買，零軸或轉紅出場,1.715293,0.222302,-0.330859,0.846019,0.671894,24,0.458333,12.291667,0.053991,1.257544,1254,4.976200
F,F,Buy&Hold 對照,分析區間開盤買進、期末收盤賣出,0.457750,0.078681,-0.736322,0.424643,0.106857,1,1.000000,1253.000000,0.457750,0.000000,1254,4.976200
