entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_exit
2021-09-28,262.3999938964844,2021-10-06,258.7333374023437,6,-0.014959072487912506,訊號次日開盤
2021-10-13,270.1566772460937,2021-11-10,336.8033447265625,20,0.24545028140412062,訊號次日開盤
2021-12-27,357.8900146484375,2022-01-11,351.22332763671875,11,-0.01960863541372404,訊號次日開盤
2022-02-07,307.92999267578125,2022-02-23,276.8099975585937,11,-0.10196040504561288,訊號次日開盤
2022-03-02,290.7099914550781,2022-03-15,258.42333984375,9,-0.11194987018223801,訊號次日開盤
2022-03-17,276.9966735839844,2022-04-08,347.7366638183594,16,0.25412733821388356,訊號次日開盤
2022-05-31,257.9466552734375,2022-06-15,220.9166717529297,11,-0.14441276530466574,訊號次日開盤
2022-06-22,234.5033264160156,2022-08-10,297.0666809082031,34,0.26552474637365187,訊號次日開盤
2022-09-12,300.7200012207031,2022-09-26,271.8299865722656,10,-0.09697296046011183,訊號次日開盤
2022-10-20,208.27999877929688,2022-11-08,194.0200042724609,13,-0.06939657016660083,訊號次日開盤
2022-11-28,179.9600067138672,2022-12-13,174.8699951171875,11,-0.029255356768606022,訊號次日開盤
2023-01-06,103.0,2023-02-17,199.9900054931641,29,0.9397098585699144,訊號次日開盤
2023-03-22,199.3000030517578,2023-04-10,179.94000244140625,12,-0.09804240034396694,訊號次日開盤
2023-05-05,163.97000122070312,2023-06-26,250.07000732421875,34,0.5235717535499369,訊號次日開盤
2023-07-07,278.42999267578125,2023-07-10,276.4700012207031,1,-0.008031905143873197,訊號次日開盤
2023-07-19,296.0400085449219,2023-07-21,268.0,2,-0.09562178690314704,訊號次日開盤
2023-08-24,238.66000366210935,2023-09-22,257.3999938964844,20,0.07744372158112078,訊號次日開盤
2023-10-06,253.97999572753903,2023-10-17,250.1000061035156,7,-0.016260983983353405,訊號次日開盤
2023-11-06,223.97999572753903,2023-12-05,233.8699951171875,20,0.04311209239791647,訊號次日開盤
2023-12-18,253.77999877929688,2024-01-02,250.0800018310547,9,-0.01556447313247955,訊號次日開盤
2024-02-07,188.17999267578125,2024-03-06,179.99000549316406,19,-0.04447809312280726,訊號次日開盤
2024-03-21,176.38999938964844,2024-04-08,169.33999633789062,11,-0.040927821562399824,訊號次日開盤
2024-04-09,172.91000366210938,2024-04-17,157.63999938964844,6,-0.08922309388986438,訊號次日開盤
2024-04-26,168.85000610351562,2024-05-13,170.0,11,0.005804434815387394,訊號次日開盤
2024-05-22,182.8500061035156,2024-05-28,176.39999389648438,3,-0.03623912400231133,訊號次日開盤
2024-06-17,177.9199981689453,2024-07-18,251.08999633789065,21,0.40984169517371316,訊號次日開盤
2024-08-16,211.1499938964844,2024-08-30,208.6300048828125,10,-0.012922163554602517,訊號次日開盤
2024-09-05,223.4900054931641,2024-10-04,246.69000244140625,21,0.10270450429543887,訊號次日開盤
2024-10-28,270.0,2024-11-26,341.0,21,0.2617006311658989,訊號次日開盤
2024-12-09,397.6099853515625,2024-12-23,431.0,10,0.08289336599934538,訊號次日開盤
2025-01-21,432.6400146484375,2025-01-27,394.7999877929688,4,-0.08837515774630267,訊號次日開盤
2025-02-20,361.510009765625,2025-02-25,327.0199890136719,3,-0.0963095802942191,訊號次日開盤
2025-03-17,245.05999755859372,2025-04-08,245.0,16,-0.001244083583001765,訊號次日開盤
2025-04-14,258.3599853515625,2025-04-21,230.25999450683597,4,-0.10965372880100666,訊號次日開盤
2025-04-25,261.69000244140625,2025-05-27,347.3500061035156,21,0.32600720871374067,訊號次日開盤
2025-06-24,356.1700134277344,2025-07-01,298.4599914550781,5,-0.1628669753818648,訊號次日開盤
2025-07-15,319.67999267578125,2025-07-31,319.6099853515625,12,-0.0012182732525121143,訊號次日開盤
2025-08-11,335.0,2025-08-21,322.0799865722656,8,-0.03952815658147191,訊號次日開盤
2025-08-26,344.92999267578125,2025-09-03,335.20001220703125,5,-0.029179871795520174,訊號次日開盤
2025-09-10,350.54998779296875,2025-10-01,443.7999877929688,15,0.2647451862303787,訊號次日開盤
2025-10-02,470.5400085449219,2025-10-03,443.2900085449219,1,-0.0588538019539393,訊號次日開盤
2025-10-29,462.5,2025-11-05,452.0499877929688,5,-0.023571537908727014,訊號次日開盤
2025-11-28,426.5899963378906,2025-12-30,461.0899963378906,21,0.07979357398358666,訊號次日開盤
2026-01-26,445.0,2026-01-30,425.3500061035156,4,-0.04511265468285197,訊號次日開盤
2026-02-12,430.2999877929688,2026-02-24,399.5,7,-0.07250590059929274,訊號次日開盤
2026-02-26,414.4200134277344,2026-03-04,397.8500061035156,4,-0.04094314452719061,訊號次日開盤
2026-03-06,398.0899963378906,2026-03-20,379.8500061035156,10,-0.04677246497444387,訊號次日開盤
2026-04-15,366.8299865722656,2026-04-29,375.3999938964844,10,0.022339490326540812,訊號次日開盤
2026-05-04,390.2300109863281,2026-05-20,407.6000061035156,12,0.04346820677980179,訊號次日開盤
2026-05-29,439.8500061035156,2026-06-02,418.2200012207031,2,-0.050126214783651535,訊號次日開盤
2026-07-01,421.4599914550781,2026-07-15,399.3999938964844,9,-0.05328903907285154,訊號次日開盤
2026-08-05,323.4200134277344,2026-09-14,362.3699951171875,27,0.11931170362593657,期末收盤強制平倉
