entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_exit
2021-12-28,369.8299865722656,2022-01-04,396.51666259765625,5,0.071087684818947,訊號次日開盤
2022-03-21,304.99334716796875,2022-04-28,299.99334716796875,27,-0.017376914856232495,訊號次日開盤
2022-06-28,244.48333740234372,2022-06-30,224.50999450683597,2,-0.08261397650130053,訊號次日開盤
2022-07-11,252.10333251953125,2022-07-18,244.9366607666016,5,-0.029398603868099227,訊號次日開盤
2022-09-12,300.7200012207031,2022-09-26,271.8299865722656,10,-0.09697296046011161,訊號次日開盤
2023-01-25,141.91000366210938,2023-02-16,210.77999877929688,16,0.4838229771258282,訊號次日開盤
2023-03-31,197.52999877929688,2023-04-06,183.0800018310547,4,-0.07407981342706882,訊號次日開盤
2023-05-22,180.6999969482422,2023-05-30,200.1000061035156,5,0.10625351119774762,訊號次日開盤
2023-09-01,257.260009765625,2023-09-12,270.760009765625,6,0.051424142114569804,訊號次日開盤
2023-10-06,253.97999572753903,2023-10-17,250.1000061035156,7,-0.016260983983353183,訊號次日開盤
2023-11-16,239.4900054931641,2023-11-29,249.2100067138672,8,0.039546183721606454,訊號次日開盤
2024-02-29,204.17999267578125,2024-03-06,179.99000549316406,4,-0.1193549226773637,訊號次日開盤
2024-04-30,186.97999572753903,2024-05-07,182.3999938964844,5,-0.025469626587599214,訊號次日開盤
2024-06-14,185.8000030517578,2024-06-26,186.5399932861328,7,0.002979243570408352,訊號次日開盤
2024-09-06,232.6000061035156,2024-09-11,224.5500030517578,3,-0.03557369139635802,訊號次日開盤
2024-10-25,256.010009765625,2024-11-07,288.8900146484375,9,0.12730462871675208,訊號次日開盤
2025-04-28,288.9800109863281,2025-05-12,321.989990234375,10,0.1131156098332935,訊號次日開盤
2025-06-12,323.0799865722656,2025-06-27,324.510009765625,10,0.003422296036478256,訊號次日開盤
2025-07-21,334.3999938964844,2025-07-25,308.739990234375,4,-0.07765726624843705,訊號次日開盤
2025-08-11,335.0,2025-09-23,439.8800048828125,30,0.31176222300900625,訊號次日開盤
2025-12-05,453.0299987792969,2025-12-15,469.4400024414063,6,0.035187069962962614,訊號次日開盤
2026-04-17,395.9200134277344,2026-06-11,388.2799987792969,38,-0.020277077015466882,訊號次日開盤
2026-07-02,428.010009765625,2026-07-07,416.9599914550781,2,-0.026790891952441,訊號次日開盤
2026-08-25,349.5799865722656,2026-09-01,360.8999938964844,5,0.031349871591902057,訊號次日開盤
