id,group,name_zh,hypothesis,total_return,ann_return,maxdd,win_rate,n_trades,avg_win,avg_loss,payoff,profit_factor,sharpe,calmar,avg_hold_days,avg_trade_pnl,excess_vs_bh,excess_vs_d3,d_win_rate,d_maxdd,n_days,years
D3,BASE,D3 基準：綠飄帶進／零軸或轉紅出,v1 建議組，當「更好打」的比較基準，不是新優化。,1.715293,0.222302,-0.330859,0.458333,24,0.191209,-0.062118,3.078185,2.604618,0.846019,0.671894,12.291667,0.053991,1.257544,0.000000,0.000000,0.000000,1254,4.976200
V_BASIS,V,綠飄帶且收盤＞BASIS,假設：價格已站上中軌再跟，假轉折較少，勝率會升、回撤不會明顯變差。,1.715293,0.222302,-0.330859,0.458333,24,0.191209,-0.062118,3.078185,2.604618,0.846019,0.671894,12.291667,0.053991,1.257544,0.000000,0.000000,0.000000,1254,4.976200
V_UP1,V,綠飄帶且收盤＞UP1,假設：只要站上上軌的強勢段，避開軌道內雜訊；代價是筆數變少、可能漏大波。,1.622077,0.213751,-0.330859,0.434783,23,0.206775,-0.062118,3.328772,2.560594,0.830556,0.646050,12.260870,0.054792,1.164327,-0.093217,-0.023551,0.000000,1254,4.976200
V_TREND,V,"綠飄帶且 TREND(EMA BX,2) 向上",假設：BX 的 2 期 EMA 在正區且比昨高，動能同向，能擋「轉綠但買盤已轉弱」。,0.610825,0.100545,-0.367245,0.368421,19,0.197662,-0.059213,3.338153,1.947256,0.524307,0.273782,11.473684,0.035425,0.153075,-1.104468,-0.089912,-0.036386,1254,4.976200
V_RSI4065,V,綠飄帶且 RSI2 在 40–65,假設：避開過冷反彈失敗與過熱追價；v1 已知 RSI2<70 幾乎沒濾到，改縮到中段帶。,1.246643,0.176639,-0.278359,0.454545,22,0.177265,-0.059651,2.971728,2.476440,0.751107,0.634573,12.000000,0.048039,0.788894,-0.468650,-0.003788,0.052500,1254,4.976200
V_VOLCOMP,V,綠飄帶且 ATR% 低於近 20 日中位數,假設：波動壓縮時的綠飄帶比較像真突破，而不是大波動裡的假翻多。,1.363730,0.188713,-0.263287,0.450000,20,0.196581,-0.060276,3.261377,2.668399,0.801224,0.716758,12.300000,0.055310,0.905981,-0.351563,-0.008333,0.067572,1254,4.976200
V_CONF23,V,綠飄帶後第 2～3 根仍多且收紅,假設：不在轉綠當根追，等 2～3 根確認收盤仍是多頭且收紅，減少隔日立刻被打。,1.990685,0.246262,-0.218252,0.555556,18,0.168654,-0.049081,3.436220,4.295275,1.087063,1.128340,11.166667,0.071883,1.532936,0.275392,0.097222,0.112607,1254,4.976200
V_UPDAY,V,綠飄帶且當日收盤＞開盤,假設：轉綠當天是陽線才跟，陰線綠飄帶品質較差。,1.405659,0.192921,-0.367245,0.444444,18,0.214285,-0.059806,3.583015,2.866412,0.814605,0.525320,13.111111,0.062012,0.947909,-0.309634,-0.013889,-0.036386,1254,4.976200
V_SL8,V,D3 進出＋固定 8% 停損,假設：D3 輸家多在 -8%～-12%，硬停損能剪左尾、壓 MaxDD；勝率可能下降。,0.849058,0.131477,-0.302667,0.375000,24,0.207401,-0.064418,3.219621,1.931773,0.595920,0.434393,9.875000,0.037514,0.391308,-0.866236,-0.083333,0.028191,1254,4.976200
V_ATR2,V,D3 進出＋進場價 −2×ATR 停損,假設：用當下波動決定停損距離，比固定百分比更貼 TSLA 的脾氣。,1.246217,0.176594,-0.305403,0.416667,24,0.204379,-0.066675,3.065303,2.189502,0.725248,0.578233,11.000000,0.046264,0.788468,-0.469076,-0.041667,0.025456,1254,4.976200
