entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_entry,reason_exit
2022-05-16,255.72000122070312,2022-06-27,249.36666870117188,28,-0.025819546909473523,,訊號次日開盤
2022-10-18,229.5,2023-01-24,143.0,66,-0.37752910037356036,,訊號次日開盤
2023-04-28,160.89999389648438,2023-05-12,176.07000732421875,10,0.09318851448226151,,訊號次日開盤
2023-08-22,240.25,2023-08-30,254.1999969482422,6,0.05700696769104763,,訊號次日開盤
2023-10-25,215.8800048828125,2023-11-15,239.2899932861328,15,0.10733193195829394,,訊號次日開盤
2024-02-08,189.0,2024-02-27,204.0399932861328,12,0.07849764688814198,,訊號次日開盤
2024-03-19,172.36000061035156,2024-04-10,173.0399932861328,15,0.002941744937676516,,訊號次日開盤
2024-04-24,162.83999633789062,2024-04-26,168.85000610351562,2,0.03587106530150397,,訊號次日開盤
2025-03-03,300.3399963378906,2025-03-26,282.6600036621094,17,-0.05980725723876912,,訊號次日開盤
2026-07-31,309.69000244140625,2026-08-20,346.20001220703125,14,0.11677478278866849,,訊號次日開盤
