entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_entry,reason_exit
2021-12-31,357.8133239746094,2022-01-11,351.22332763671875,7,-0.019398506641742475,,訊號次日開盤
2022-03-23,326.64666748046875,2022-04-08,347.7366638183594,12,0.06350113293824977,,訊號次日開盤
2022-07-14,234.89666748046875,2022-08-10,297.0666809082031,19,0.2634055896560632,,訊號次日開盤
2022-09-15,301.8299865722656,2022-09-26,271.8299865722656,7,-0.10029385908034893,,訊號次日開盤
2023-01-27,162.42999267578125,2023-02-17,199.9900054931641,15,0.2300075382721507,,訊號次日開盤
2023-05-25,186.5399932861328,2023-06-26,250.07000732421875,20,0.3392305740368189,,訊號次日開盤
2023-09-06,255.13999938964844,2023-09-22,257.3999938964844,12,0.007849506754760371,,訊號次日開盤
2023-10-10,257.75,2023-10-17,250.1000061035156,5,-0.030649733909131283,,訊號次日開盤
2023-11-20,234.0399932861328,2023-12-05,233.8699951171875,10,-0.0017251380066891642,,訊號次日開盤
2024-03-04,198.72999572753903,2024-03-06,179.99000549316406,2,-0.09520399887584041,,訊號次日開盤
2024-06-18,186.55999755859372,2024-07-18,251.08999633789065,20,0.3445488588464829,,訊號次日開盤
2024-09-10,220.07000732421875,2024-10-04,246.69000244140625,18,0.11984108474741384,,訊號次日開盤
2025-04-30,279.8999938964844,2025-05-27,347.3500061035156,18,0.23973861111963246,,訊號次日開盤
2025-06-16,331.2900085449219,2025-06-27,324.510009765625,8,-0.021444494044199902,,訊號次日開盤
2025-07-23,330.8999938964844,2025-07-25,308.739990234375,2,-0.06790144990611247,,訊號次日開盤
2025-12-10,446.0700073242188,2025-12-30,461.0899963378906,13,0.03263866480163302,,訊號次日開盤
2026-07-07,416.9599914550781,2026-07-09,393.989990234375,2,-0.05603365980716113,,訊號次日開盤
2026-08-27,346.1600036621094,2026-09-14,362.3699951171875,11,0.04578172633104227,,期末收盤強制平倉
