entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_entry,reason_exit
2021-12-28,369.8299865722656,2022-01-06,340.2435876464844,7,-0.0809195402298849,,停損(盤中)
2022-03-21,304.99334716796875,2022-04-08,347.7366638183594,14,0.13900550343698104,,訊號次日開盤
2022-06-28,244.48333740234372,2022-06-29,224.92467041015624,1,-0.08091954022988468,,停損(盤中)
2022-07-11,252.10333251953125,2022-07-12,231.93506591796876,1,-0.0809195402298849,,停損(盤中)
2022-09-12,300.7200012207031,2022-09-23,276.6624011230469,9,-0.08091954022988501,,停損(盤中)
2023-01-25,141.91000366210938,2023-02-17,199.9900054931641,17,0.407864916333915,,訊號次日開盤
2023-03-31,197.52999877929688,2023-04-06,183.0800018310547,4,-0.0740798134270686,,訊號次日開盤
2023-05-22,180.6999969482422,2023-06-26,250.07000732421875,23,0.38251281963755535,,訊號次日開盤
2023-09-01,257.260009765625,2023-09-22,257.3999938964844,14,-0.0004559092859585112,,訊號次日開盤
2023-10-06,253.97999572753903,2023-10-17,250.1000061035156,7,-0.016260983983353294,,訊號次日開盤
2023-11-16,239.4900054931641,2023-12-05,233.8699951171875,12,-0.02444262123791041,,訊號次日開盤
2024-02-29,204.17999267578125,2024-03-04,187.84559326171876,2,-0.0809195402298849,,停損(盤中)
2024-04-30,186.97999572753903,2024-05-08,171.58999633789062,6,-0.08322549999701512,,停損(開盤缺口)
2024-06-14,185.8000030517578,2024-07-18,251.08999633789065,22,0.3500485882873441,,訊號次日開盤
2024-09-06,232.6000061035156,2024-09-06,213.99200561523435,0,-0.0809195402298849,,停損(盤中)
2024-10-25,256.010009765625,2024-11-26,341.0,22,0.33064785524075124,,訊號次日開盤
2025-04-28,288.9800109863281,2025-05-27,347.3500061035156,20,0.20078488647451165,,訊號次日開盤
2025-06-12,323.0799865722656,2025-06-27,324.510009765625,10,0.003422296036478256,,訊號次日開盤
2025-07-21,334.3999938964844,2025-07-24,307.64799438476564,3,-0.08091954022988512,,停損(盤中)
2025-08-11,335.0,2025-08-21,322.0799865722656,8,-0.039528156581471685,,訊號次日開盤
2025-12-05,453.0299987792969,2025-12-30,461.0899963378906,16,0.01677402823767804,,訊號次日開盤
2026-04-17,395.9200134277344,2026-04-27,364.24641235351567,6,-0.0809195402298849,,停損(盤中)
2026-07-02,428.010009765625,2026-07-02,393.76920898437504,0,-0.08091954022988468,,停損(盤中)
2026-08-25,349.5799865722656,2026-09-14,362.3699951171875,13,0.03555071835236778,,期末收盤強制平倉
