entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_entry,reason_exit
2021-12-28,369.8299865722656,2022-01-06,354.0722666300966,7,-0.043564924008646755,,停損(盤中)
2022-03-21,304.99334716796875,2022-04-07,342.3923053541299,13,0.12150014856224489,,停損(盤中)
2022-06-28,244.48333740234372,2022-06-30,224.50999450683597,2,-0.08261397650130053,,訊號次日開盤
2022-07-11,252.10333251953125,2022-08-10,297.0666809082031,22,0.17717508816911076,,訊號次日開盤
2022-09-12,300.7200012207031,2022-09-23,283.0899963378906,9,-0.05956688391918008,,停損(開盤缺口)
2023-01-25,141.91000366210938,2023-02-13,191.60300631455507,13,0.3488231563831228,,停損(盤中)
2023-03-31,197.52999877929688,2023-04-05,185.40495436410814,3,-0.062321453903102064,,停損(盤中)
2023-05-22,180.6999969482422,2023-06-22,250.7700042724609,21,0.3863827549608956,,停損(開盤缺口)
2023-09-01,257.260009765625,2023-09-22,257.3999938964844,14,-0.00045590928595873326,,訊號次日開盤
2023-10-06,253.97999572753903,2023-10-17,250.1000061035156,7,-0.016260983983353183,,訊號次日開盤
2023-11-16,239.4900054931641,2023-12-05,233.8699951171875,12,-0.024442621237910522,,訊號次日開盤
2024-02-29,204.17999267578125,2024-03-05,183.0500030517578,3,-0.10438313699842394,,停損(開盤缺口)
2024-04-30,186.97999572753903,2024-05-13,170.0,9,-0.09172056456246835,,訊號次日開盤
2024-06-14,185.8000030517578,2024-07-11,248.8747591616042,17,0.3381378078254149,,停損(盤中)
2024-09-06,232.6000061035156,2024-10-04,246.69000244140625,20,0.05951603291294827,,訊號次日開盤
2024-10-25,256.010009765625,2024-11-04,244.55999755859372,6,-0.04567965915241634,,停損(開盤缺口)
2025-04-28,288.9800109863281,2025-05-27,347.3500061035156,20,0.20078488647451143,,訊號次日開盤
2025-06-12,323.0799865722656,2025-06-27,324.510009765625,10,0.003422296036478256,,訊號次日開盤
2025-07-21,334.3999938964844,2025-07-24,303.40902105924766,3,-0.09358322607890679,,停損(盤中)
2025-08-11,335.0,2025-08-20,316.7195265171305,7,-0.05551353650377222,,停損(盤中)
2025-12-05,453.0299987792969,2025-12-30,461.0899963378906,16,0.016774028237678262,,訊號次日開盤
2026-04-17,395.9200134277344,2026-04-23,370.87283833188576,4,-0.0641994891098695,,停損(盤中)
2026-07-02,428.010009765625,2026-07-09,393.989990234375,4,-0.0804042238259387,,訊號次日開盤
2026-08-25,349.5799865722656,2026-09-14,362.3699951171875,13,0.03555071835236778,,期末收盤強制平倉
