entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_entry,reason_exit
2021-12-28,369.8299865722656,2022-01-11,351.22332763671875,10,-0.051260599268840856,,訊號次日開盤
2022-03-21,304.99334716796875,2022-04-08,347.7366638183594,14,0.13900550343698126,,訊號次日開盤
2022-06-28,244.48333740234372,2022-06-30,224.50999450683597,2,-0.08261397650130042,,訊號次日開盤
2022-07-11,252.10333251953125,2022-08-10,297.0666809082031,22,0.17717508816911076,,訊號次日開盤
2023-01-25,141.91000366210938,2023-02-17,199.9900054931641,17,0.40786491633391475,,訊號次日開盤
2023-03-31,197.52999877929688,2023-04-06,183.0800018310547,4,-0.07407981342706871,,訊號次日開盤
2023-05-22,180.6999969482422,2023-06-26,250.07000732421875,23,0.38251281963755535,,訊號次日開盤
2023-09-01,257.260009765625,2023-09-22,257.3999938964844,14,-0.00045590928595862223,,訊號次日開盤
2023-10-06,253.97999572753903,2023-10-17,250.1000061035156,7,-0.016260983983353072,,訊號次日開盤
2023-11-16,239.4900054931641,2023-12-05,233.8699951171875,12,-0.02444262123791019,,訊號次日開盤
2024-02-29,204.17999267578125,2024-03-06,179.99000549316406,4,-0.11935492267736403,,訊號次日開盤
2024-04-30,186.97999572753903,2024-05-13,170.0,9,-0.09172056456246824,,訊號次日開盤
2024-09-06,232.6000061035156,2024-10-04,246.69000244140625,20,0.05951603291294827,,訊號次日開盤
2025-04-28,288.9800109863281,2025-05-27,347.3500061035156,20,0.20078488647451165,,訊號次日開盤
2025-07-21,334.3999938964844,2025-07-25,308.739990234375,4,-0.07765726624843716,,訊號次日開盤
2025-08-11,335.0,2025-08-21,322.0799865722656,8,-0.039528156581471796,,訊號次日開盤
2025-12-05,453.0299987792969,2025-12-30,461.0899963378906,16,0.01677402823767804,,訊號次日開盤
2026-04-17,395.9200134277344,2026-04-29,375.3999938964844,8,-0.05277639727794792,,訊號次日開盤
2026-07-02,428.010009765625,2026-07-09,393.989990234375,4,-0.0804042238259387,,訊號次日開盤
