entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_entry,reason_exit
2021-10-22,365.2891022902149,2021-11-12,380.63018886710097,15,0.040955633535756375,,訊號次日開盤
2021-12-13,386.6830072813978,2021-12-15,376.9090338552437,2,-0.026250685725855205,,訊號次日開盤
2022-03-25,350.24388447861514,2022-04-07,343.08481274808463,9,-0.021419317849812658,,訊號次日開盤
2022-07-22,299.03924389289483,2022-08-19,318.3031614705781,20,0.06335547549419007,,訊號次日開盤
2023-03-09,292.35609679890285,2023-03-10,286.96617449163693,1,-0.019417228279253962,,訊號次日開盤
2023-03-22,304.52762457022,2023-04-12,311.93802449762427,14,0.02331025897565686,,訊號次日開盤
2023-09-06,370.80547079743104,2023-09-14,369.5375911776395,6,-0.004415340828145875,,訊號次日開盤
2023-10-17,360.0527212874597,2023-10-23,347.70028297707074,4,-0.03527251449369473,,訊號次日開盤
2023-11-07,364.4425414885638,2023-11-29,386.5096965719259,15,0.059490416394595735,,訊號次日開盤
2024-05-09,435.068517003567,2024-05-31,446.38168470949,15,0.024977695870434857,,訊號次日開盤
2024-08-22,479.8080304198516,2024-08-30,470.1098112366977,6,-0.021192004744181037,,訊號次日開盤
2024-09-17,471.3468249743636,2024-10-03,475.428157126228,12,0.007650717898047388,,訊號次日開盤
2024-11-11,510.73789673440615,2024-11-19,492.9492754485386,6,-0.035793945048414266,,訊號次日開盤
2025-01-24,529.0812113327657,2025-01-28,511.4125304134355,2,-0.034361148122180274,,訊號次日開盤
2025-02-05,517.9638671852232,2025-02-25,515.402907751773,13,-0.005938840454742245,,訊號次日開盤
2025-04-30,464.36947606745446,2025-05-23,503.1886765918508,17,0.08251245030335008,,訊號次日開盤
2025-09-10,580.9420329124574,2025-09-29,596.929586249639,13,0.02649304266969188,,訊號次日開盤
2025-12-03,617.3649627124794,2025-12-16,606.0463317071705,9,-0.019314951747333775,,訊號次日開盤
2025-12-26,623.1884938656726,2026-01-05,617.8610636312775,5,-0.009539621768376305,,訊號次日開盤
2026-04-14,619.5391066149297,2026-05-19,699.0418050981273,25,0.12719779136284481,,訊號次日開盤
2026-07-07,714.1699829101562,2026-07-08,704.9500122070312,1,-0.013896647372427906,,訊號次日開盤
2026-08-10,722.3900146484375,2026-08-21,715.22998046875,9,-0.010901184352218207,,訊號次日開盤
