entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_entry,reason_exit
2021-11-05,109.37642049943452,2021-11-17,109.21908461105082,8,-0.0024365433566637673,,訊號次日開盤
2022-06-03,88.12247481113589,2022-06-13,80.37114913870717,6,-0.08887240936957796,,訊號次日開盤
2023-01-12,80.66751369497948,2023-02-01,88.30131261183075,13,0.09353879135735732,,訊號次日開盤
2023-03-24,89.66767694071875,2023-04-06,85.57323526502218,9,-0.04661626450398659,,訊號次日開盤
2023-05-22,87.87339010697674,2023-06-08,94.47794863207552,12,0.07408531506418425,,訊號次日開盤
2023-07-18,99.37823316800784,2023-07-21,93.80983173798538,3,-0.056975901057859546,,訊號次日開盤
2023-10-17,86.52213395473414,2023-10-26,83.93063693184374,7,-0.030921402341690274,,訊號次日開盤
2023-11-07,88.87282381457491,2023-11-28,94.28708517282752,14,0.05986105948610487,,訊號次日開盤
2024-05-09,138.91792867122672,2024-05-31,147.2176301352609,15,0.05868614284641693,,訊號次日開盤
2024-08-20,171.0023358710578,2024-08-28,167.02466685921257,6,-0.02423715551600103,,訊號次日開盤
2024-12-09,196.6152671867333,2024-12-13,194.8640610798348,4,-0.009897363579559948,,訊號次日開盤
2025-02-12,201.1366949738853,2025-02-13,198.17217732245865,1,-0.015723589336045007,,訊號次日開盤
2025-08-12,241.05407115917808,2025-08-21,225.65439116993508,7,-0.06482040122560206,,訊號次日開盤
2025-09-10,256.0383526818429,2025-10-01,276.2631087070019,15,0.0779126672626409,,訊號次日開盤
2025-12-10,302.98257458725914,2025-12-17,287.04703993240423,5,-0.05354247934915857,,訊號次日開盤
2025-12-26,298.35858618714826,2026-01-22,331.70633142130043,17,0.1106594755490018,,訊號次日開盤
2026-08-18,417.0,2026-08-21,423.0199890136719,3,0.013422495033454718,,訊號次日開盤
